date,granularite,maille_code,maille_nom,cas_confirmes,cas_ehpad,cas_confirmes_ehpad,cas_possibles_ehpad,deces,deces_ehpad,reanimation,hospitalises,gueris,depistes,source_nom,source_url,source_archive,source_type,susceptible
2020-01-27,pays,FRA,France,3.0,,,,0.0,,0.0,3.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7r5qpd,,ministere-sante,66999997.0
2020-01-28,pays,FRA,France,4.0,,,,0.0,,1.0,4.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7r7hna,,ministere-sante,66999996.0
2020-01-29,pays,FRA,France,5.0,,,,0.0,,2.0,5.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7r93j5,,ministere-sante,66999995.0
2020-01-30,pays,FRA,France,6.0,,,,0.0,,2.0,6.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rapbe,,ministere-sante,66999994.0
2020-01-31,pays,FRA,France,6.0,,,,0.0,,2.0,6.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rc6k1,,ministere-sante,66999994.0
2020-02-02,pays,FRA,France,6.0,,,,0.0,,1.0,6.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7reub3,,ministere-sante,66999994.0
2020-02-03,pays,FRA,France,6.0,,,,0.0,,1.0,6.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rg9dz,,ministere-sante,66999994.0
2020-02-04,pays,FRA,France,6.0,,,,0.0,,1.0,6.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rhwp3,,ministere-sante,66999994.0
2020-02-05,pays,FRA,France,6.0,,,,0.0,,1.0,6.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rjaok,,ministere-sante,66999994.0
2020-02-07,pays,FRA,France,6.0,,,,0.0,,1.0,6.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rm8cj,,ministere-sante,66999994.0
2020-02-08,pays,FRA,France,11.0,,,,0.0,,1.0,11.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rmoy6,,ministere-sante,66999989.0
2020-02-09,pays,FRA,France,11.0,,,,0.0,,1.0,11.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rnsoh,,ministere-sante,66999989.0
2020-02-10,pays,FRA,France,11.0,,,,0.0,,1.0,11.0,0.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7roqav,,ministere-sante,66999989.0
2020-02-12,pays,FRA,France,11.0,,,,0.0,,1.0,9.0,2.0,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rqmkg,,ministere-sante,66999987.0
